
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.26, Reward 3.0, Avgloss 2.26, Avgreward 3.00, Epsilon 0.40, TotalStep 227
Epoch 1: Loss 1.83, Reward 2.0, Avgloss 2.04, Avgreward 2.50, Epsilon 0.40, TotalStep 429
Epoch 2: Loss 1.76, Reward 4.0, Avgloss 1.95, Avgreward 3.00, Epsilon 0.39, TotalStep 613
Epoch 3: Loss 2.34, Reward 3.0, Avgloss 2.05, Avgreward 3.00, Epsilon 0.39, TotalStep 834
Epoch 4: Loss 1.79, Reward 6.0, Avgloss 2.00, Avgreward 3.60, Epsilon 0.39, TotalStep 1029
Epoch 5: Loss 1.89, Reward 1.0, Avgloss 1.98, Avgreward 3.17, Epsilon 0.39, TotalStep 1232
Epoch 6: Loss 3.37, Reward 5.0, Avgloss 2.18, Avgreward 3.43, Epsilon 0.39, TotalStep 1567
Epoch 7: Loss 2.21, Reward 4.0, Avgloss 2.18, Avgreward 3.50, Epsilon 0.39, TotalStep 1786
Epoch 8: Loss 1.74, Reward 5.0, Avgloss 2.13, Avgreward 3.67, Epsilon 0.39, TotalStep 1999
Epoch 9: Loss 3.54, Reward 6.0, Avgloss 2.27, Avgreward 3.90, Epsilon 0.39, TotalStep 2405
Epoch 10: Loss 1.90, Reward 2.0, Avgloss 2.24, Avgreward 3.73, Epsilon 0.39, TotalStep 2619
Epoch 11: Loss 2.93, Reward 8.0, Avgloss 2.30, Avgreward 4.08, Epsilon 0.38, TotalStep 2937
Epoch 12: Loss 2.10, Reward 3.0, Avgloss 2.28, Avgreward 4.00, Epsilon 0.38, TotalStep 3167
Epoch 13: Loss 3.15, Reward 7.0, Avgloss 2.34, Avgreward 4.21, Epsilon 0.38, TotalStep 3497
Epoch 14: Loss 1.58, Reward 2.0, Avgloss 2.29, Avgreward 4.07, Epsilon 0.38, TotalStep 3667
Epoch 15: Loss 1.90, Reward 3.0, Avgloss 2.27, Avgreward 4.00, Epsilon 0.38, TotalStep 3868
Epoch 16: Loss 2.02, Reward 2.0, Avgloss 2.25, Avgreward 3.88, Epsilon 0.38, TotalStep 4065
Epoch 17: Loss 1.92, Reward 5.0, Avgloss 2.24, Avgreward 3.94, Epsilon 0.38, TotalStep 4271
Epoch 18: Loss 3.73, Reward 9.0, Avgloss 2.31, Avgreward 4.21, Epsilon 0.38, TotalStep 4652
Epoch 19: Loss 1.85, Reward 3.0, Avgloss 2.29, Avgreward 4.15, Epsilon 0.38, TotalStep 4854
Epoch 20: Loss 2.16, Reward 6.0, Avgloss 2.28, Avgreward 4.24, Epsilon 0.38, TotalStep 5080
Epoch 21: Loss 1.90, Reward 3.0, Avgloss 2.27, Avgreward 4.18, Epsilon 0.37, TotalStep 5296
Epoch 22: Loss 4.41, Reward 10.0, Avgloss 2.36, Avgreward 4.43, Epsilon 0.37, TotalStep 5727
Epoch 23: Loss 1.64, Reward 3.0, Avgloss 2.33, Avgreward 4.38, Epsilon 0.37, TotalStep 5930
Epoch 24: Loss 2.36, Reward 4.0, Avgloss 2.33, Avgreward 4.36, Epsilon 0.37, TotalStep 6160
Epoch 25: Loss 3.21, Reward 9.0, Avgloss 2.37, Avgreward 4.54, Epsilon 0.37, TotalStep 6485
Epoch 26: Loss 1.80, Reward 3.0, Avgloss 2.34, Avgreward 4.48, Epsilon 0.37, TotalStep 6656
Epoch 27: Loss 2.66, Reward 4.0, Avgloss 2.36, Avgreward 4.46, Epsilon 0.37, TotalStep 6944
Epoch 28: Loss 4.21, Reward 15.0, Avgloss 2.42, Avgreward 4.83, Epsilon 0.37, TotalStep 7428
Epoch 29: Loss 2.15, Reward 1.0, Avgloss 2.41, Avgreward 4.70, Epsilon 0.36, TotalStep 7639
Epoch 30: Loss 3.63, Reward 8.0, Avgloss 2.45, Avgreward 4.81, Epsilon 0.36, TotalStep 7995
Epoch 31: Loss 4.34, Reward 9.0, Avgloss 2.51, Avgreward 4.94, Epsilon 0.36, TotalStep 8391
Epoch 32: Loss 1.88, Reward 1.0, Avgloss 2.49, Avgreward 4.82, Epsilon 0.36, TotalStep 8591
Epoch 33: Loss 4.63, Reward 10.0, Avgloss 2.55, Avgreward 4.97, Epsilon 0.36, TotalStep 9070
Epoch 34: Loss 3.14, Reward 7.0, Avgloss 2.57, Avgreward 5.03, Epsilon 0.36, TotalStep 9396
Epoch 35: Loss 1.71, Reward 2.0, Avgloss 2.55, Avgreward 4.94, Epsilon 0.36, TotalStep 9571
Epoch 36: Loss 1.98, Reward 4.0, Avgloss 2.53, Avgreward 4.92, Epsilon 0.36, TotalStep 9775
Epoch 37: Loss 2.51, Reward 4.0, Avgloss 2.53, Avgreward 4.89, Epsilon 0.35, TotalStep 10047
Epoch 38: Loss 2.93, Reward 7.0, Avgloss 2.54, Avgreward 4.95, Epsilon 0.35, TotalStep 10318
Epoch 39: Loss 1.73, Reward 1.0, Avgloss 2.52, Avgreward 4.85, Epsilon 0.35, TotalStep 10530
Epoch 40: Loss 1.79, Reward 3.0, Avgloss 2.50, Avgreward 4.80, Epsilon 0.35, TotalStep 10729
Epoch 41: Loss 2.67, Reward 3.0, Avgloss 2.51, Avgreward 4.76, Epsilon 0.35, TotalStep 10996
Epoch 42: Loss 2.42, Reward 5.0, Avgloss 2.50, Avgreward 4.77, Epsilon 0.35, TotalStep 11222
Epoch 43: Loss 1.98, Reward 3.0, Avgloss 2.49, Avgreward 4.73, Epsilon 0.35, TotalStep 11435
Epoch 44: Loss 3.73, Reward 3.0, Avgloss 2.52, Avgreward 4.69, Epsilon 0.35, TotalStep 11791
Epoch 45: Loss 1.72, Reward 3.0, Avgloss 2.50, Avgreward 4.65, Epsilon 0.35, TotalStep 11991
Epoch 46: Loss 4.10, Reward 11.0, Avgloss 2.54, Avgreward 4.79, Epsilon 0.35, TotalStep 12408
Epoch 47: Loss 2.15, Reward 3.0, Avgloss 2.53, Avgreward 4.75, Epsilon 0.34, TotalStep 12612
Epoch 48: Loss 2.37, Reward 2.0, Avgloss 2.53, Avgreward 4.69, Epsilon 0.34, TotalStep 12836
Epoch 49: Loss 2.20, Reward 2.0, Avgloss 2.52, Avgreward 4.64, Epsilon 0.34, TotalStep 13070
Epoch 50: Loss 3.31, Reward 4.0, Avgloss 2.53, Avgreward 4.63, Epsilon 0.34, TotalStep 13381
Epoch 51: Loss 3.50, Reward 6.0, Avgloss 2.55, Avgreward 4.65, Epsilon 0.34, TotalStep 13713
Epoch 52: Loss 2.87, Reward 7.0, Avgloss 2.56, Avgreward 4.70, Epsilon 0.34, TotalStep 14012
Epoch 53: Loss 1.95, Reward 3.0, Avgloss 2.55, Avgreward 4.67, Epsilon 0.34, TotalStep 14219
Epoch 54: Loss 1.99, Reward 0.0, Avgloss 2.54, Avgreward 4.58, Epsilon 0.34, TotalStep 14423
Epoch 55: Loss 1.84, Reward 3.0, Avgloss 2.53, Avgreward 4.55, Epsilon 0.34, TotalStep 14631
Epoch 56: Loss 2.48, Reward 4.0, Avgloss 2.52, Avgreward 4.54, Epsilon 0.34, TotalStep 14853
Epoch 57: Loss 2.56, Reward 3.0, Avgloss 2.53, Avgreward 4.52, Epsilon 0.34, TotalStep 15077
Epoch 58: Loss 1.53, Reward 2.0, Avgloss 2.51, Avgreward 4.47, Epsilon 0.33, TotalStep 15279
Epoch 59: Loss 2.51, Reward 5.0, Avgloss 2.51, Avgreward 4.48, Epsilon 0.33, TotalStep 15528
Epoch 60: Loss 1.97, Reward 3.0, Avgloss 2.50, Avgreward 4.46, Epsilon 0.33, TotalStep 15735
Epoch 61: Loss 5.72, Reward 9.0, Avgloss 2.55, Avgreward 4.53, Epsilon 0.33, TotalStep 16259
Epoch 62: Loss 2.57, Reward 2.0, Avgloss 2.55, Avgreward 4.49, Epsilon 0.33, TotalStep 16496
Epoch 63: Loss 3.87, Reward 9.0, Avgloss 2.57, Avgreward 4.56, Epsilon 0.33, TotalStep 16866
Epoch 64: Loss 2.02, Reward 2.0, Avgloss 2.56, Avgreward 4.52, Epsilon 0.33, TotalStep 17074
Epoch 65: Loss 2.18, Reward 7.0, Avgloss 2.56, Avgreward 4.56, Epsilon 0.33, TotalStep 17297
Epoch 66: Loss 2.11, Reward 1.0, Avgloss 2.55, Avgreward 4.51, Epsilon 0.33, TotalStep 17496
Epoch 67: Loss 2.28, Reward 3.0, Avgloss 2.55, Avgreward 4.49, Epsilon 0.33, TotalStep 17719
Epoch 68: Loss 1.95, Reward 3.0, Avgloss 2.54, Avgreward 4.46, Epsilon 0.32, TotalStep 17926
Epoch 69: Loss 2.03, Reward 3.0, Avgloss 2.53, Avgreward 4.44, Epsilon 0.32, TotalStep 18131
Epoch 70: Loss 2.27, Reward 5.0, Avgloss 2.53, Avgreward 4.45, Epsilon 0.32, TotalStep 18371
Epoch 71: Loss 2.08, Reward 5.0, Avgloss 2.52, Avgreward 4.46, Epsilon 0.32, TotalStep 18570
Epoch 72: Loss 2.71, Reward 3.0, Avgloss 2.52, Avgreward 4.44, Epsilon 0.32, TotalStep 18829
Epoch 73: Loss 1.85, Reward 1.0, Avgloss 2.52, Avgreward 4.39, Epsilon 0.32, TotalStep 19024
Epoch 74: Loss 2.25, Reward 1.0, Avgloss 2.51, Avgreward 4.35, Epsilon 0.32, TotalStep 19252
Epoch 75: Loss 2.97, Reward 8.0, Avgloss 2.52, Avgreward 4.39, Epsilon 0.32, TotalStep 19558
Epoch 76: Loss 2.49, Reward 2.0, Avgloss 2.52, Avgreward 4.36, Epsilon 0.32, TotalStep 19765
Epoch 77: Loss 3.33, Reward 6.0, Avgloss 2.53, Avgreward 4.38, Epsilon 0.32, TotalStep 20051
Epoch 78: Loss 2.83, Reward 5.0, Avgloss 2.53, Avgreward 4.39, Epsilon 0.32, TotalStep 20319
Epoch 79: Loss 2.62, Reward 2.0, Avgloss 2.53, Avgreward 4.36, Epsilon 0.32, TotalStep 20544
Epoch 80: Loss 2.28, Reward 1.0, Avgloss 2.53, Avgreward 4.32, Epsilon 0.31, TotalStep 20743
Epoch 81: Loss 2.39, Reward 5.0, Avgloss 2.53, Avgreward 4.33, Epsilon 0.31, TotalStep 20960
