
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.19, Reward 6.0, Avgloss 2.19, Avgreward 6.00, Epsilon 0.01, TotalStep 1580393
Epoch 1: Loss 1.98, Reward 4.0, Avgloss 2.09, Avgreward 5.00, Epsilon 0.01, TotalStep 1580608
Epoch 2: Loss 2.39, Reward 3.0, Avgloss 2.19, Avgreward 4.33, Epsilon 0.01, TotalStep 1580858
Epoch 3: Loss 1.97, Reward 6.0, Avgloss 2.14, Avgreward 4.75, Epsilon 0.01, TotalStep 1581065
Epoch 4: Loss 1.94, Reward 4.0, Avgloss 2.10, Avgreward 4.60, Epsilon 0.01, TotalStep 1581262
Epoch 5: Loss 2.49, Reward 5.0, Avgloss 2.16, Avgreward 4.67, Epsilon 0.01, TotalStep 1581532
Epoch 6: Loss 2.61, Reward 9.0, Avgloss 2.23, Avgreward 5.29, Epsilon 0.01, TotalStep 1581811
Epoch 7: Loss 1.84, Reward 5.0, Avgloss 2.18, Avgreward 5.25, Epsilon 0.01, TotalStep 1582007
Epoch 8: Loss 2.57, Reward 2.0, Avgloss 2.22, Avgreward 4.89, Epsilon 0.01, TotalStep 1582265
Epoch 9: Loss 2.97, Reward 8.0, Avgloss 2.30, Avgreward 5.20, Epsilon 0.01, TotalStep 1582577
Epoch 10: Loss 2.14, Reward 1.0, Avgloss 2.28, Avgreward 4.82, Epsilon 0.01, TotalStep 1582791
Epoch 11: Loss 2.00, Reward 2.0, Avgloss 2.26, Avgreward 4.58, Epsilon 0.01, TotalStep 1582992
Epoch 12: Loss 2.43, Reward 3.0, Avgloss 2.27, Avgreward 4.46, Epsilon 0.01, TotalStep 1583242
Epoch 13: Loss 1.73, Reward 4.0, Avgloss 2.23, Avgreward 4.43, Epsilon 0.01, TotalStep 1583445
Epoch 14: Loss 3.81, Reward 11.0, Avgloss 2.34, Avgreward 4.87, Epsilon 0.01, TotalStep 1583840
Epoch 15: Loss 2.27, Reward 5.0, Avgloss 2.33, Avgreward 4.88, Epsilon 0.01, TotalStep 1584091
Epoch 16: Loss 3.03, Reward 4.0, Avgloss 2.37, Avgreward 4.82, Epsilon 0.01, TotalStep 1584384
Epoch 17: Loss 2.82, Reward 4.0, Avgloss 2.40, Avgreward 4.78, Epsilon 0.01, TotalStep 1584654
Epoch 18: Loss 1.88, Reward 3.0, Avgloss 2.37, Avgreward 4.68, Epsilon 0.01, TotalStep 1584853
Epoch 19: Loss 2.52, Reward 6.0, Avgloss 2.38, Avgreward 4.75, Epsilon 0.01, TotalStep 1585125
Epoch 20: Loss 3.26, Reward 3.0, Avgloss 2.42, Avgreward 4.67, Epsilon 0.01, TotalStep 1585417
Epoch 21: Loss 1.91, Reward 6.0, Avgloss 2.40, Avgreward 4.73, Epsilon 0.01, TotalStep 1585620
