
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.67, Reward 6.0, Avgloss 2.67, Avgreward 6.00, Epsilon 0.01, TotalStep 1570540
Epoch 1: Loss 2.28, Reward 0.0, Avgloss 2.47, Avgreward 3.00, Epsilon 0.01, TotalStep 1570761
Epoch 2: Loss 2.11, Reward 1.0, Avgloss 2.35, Avgreward 2.33, Epsilon 0.01, TotalStep 1570979
Epoch 3: Loss 2.06, Reward 2.0, Avgloss 2.28, Avgreward 2.25, Epsilon 0.01, TotalStep 1571179
Epoch 4: Loss 1.95, Reward 1.0, Avgloss 2.21, Avgreward 2.00, Epsilon 0.01, TotalStep 1571375
Epoch 5: Loss 2.05, Reward 3.0, Avgloss 2.19, Avgreward 2.17, Epsilon 0.01, TotalStep 1571571
Epoch 6: Loss 3.25, Reward 7.0, Avgloss 2.34, Avgreward 2.86, Epsilon 0.01, TotalStep 1571907
Epoch 7: Loss 2.78, Reward 3.0, Avgloss 2.39, Avgreward 2.88, Epsilon 0.01, TotalStep 1572191
Epoch 8: Loss 1.97, Reward 2.0, Avgloss 2.35, Avgreward 2.78, Epsilon 0.01, TotalStep 1572392
Epoch 9: Loss 3.43, Reward 7.0, Avgloss 2.45, Avgreward 3.20, Epsilon 0.01, TotalStep 1572754
Epoch 10: Loss 1.86, Reward 5.0, Avgloss 2.40, Avgreward 3.36, Epsilon 0.01, TotalStep 1572964
Epoch 11: Loss 4.19, Reward 15.0, Avgloss 2.55, Avgreward 4.33, Epsilon 0.01, TotalStep 1573409
Epoch 12: Loss 1.78, Reward 1.0, Avgloss 2.49, Avgreward 4.08, Epsilon 0.01, TotalStep 1573606
Epoch 13: Loss 3.72, Reward 9.0, Avgloss 2.58, Avgreward 4.43, Epsilon 0.01, TotalStep 1573999
Epoch 14: Loss 3.09, Reward 4.0, Avgloss 2.61, Avgreward 4.40, Epsilon 0.01, TotalStep 1574329
Epoch 15: Loss 2.69, Reward 3.0, Avgloss 2.62, Avgreward 4.31, Epsilon 0.01, TotalStep 1574619
Epoch 16: Loss 2.55, Reward 4.0, Avgloss 2.61, Avgreward 4.29, Epsilon 0.01, TotalStep 1574897
Epoch 17: Loss 1.69, Reward 0.0, Avgloss 2.56, Avgreward 4.06, Epsilon 0.01, TotalStep 1575098
Epoch 18: Loss 2.09, Reward 3.0, Avgloss 2.54, Avgreward 4.00, Epsilon 0.01, TotalStep 1575315
Epoch 19: Loss 1.79, Reward 3.0, Avgloss 2.50, Avgreward 3.95, Epsilon 0.01, TotalStep 1575512
Epoch 20: Loss 2.08, Reward 4.0, Avgloss 2.48, Avgreward 3.95, Epsilon 0.01, TotalStep 1575714
Epoch 21: Loss 4.01, Reward 8.0, Avgloss 2.55, Avgreward 4.14, Epsilon 0.01, TotalStep 1576130
Epoch 22: Loss 2.10, Reward 1.0, Avgloss 2.53, Avgreward 4.00, Epsilon 0.01, TotalStep 1576382
Epoch 23: Loss 1.99, Reward 5.0, Avgloss 2.51, Avgreward 4.04, Epsilon 0.01, TotalStep 1576569
Epoch 24: Loss 2.53, Reward 6.0, Avgloss 2.51, Avgreward 4.12, Epsilon 0.01, TotalStep 1576842
Epoch 25: Loss 2.72, Reward 5.0, Avgloss 2.52, Avgreward 4.15, Epsilon 0.01, TotalStep 1577127
Epoch 26: Loss 2.11, Reward 3.0, Avgloss 2.50, Avgreward 4.11, Epsilon 0.01, TotalStep 1577355
Epoch 27: Loss 2.16, Reward 3.0, Avgloss 2.49, Avgreward 4.07, Epsilon 0.01, TotalStep 1577557
Epoch 28: Loss 1.92, Reward 2.0, Avgloss 2.47, Avgreward 4.00, Epsilon 0.01, TotalStep 1577765
Epoch 29: Loss 4.21, Reward 9.0, Avgloss 2.53, Avgreward 4.17, Epsilon 0.01, TotalStep 1578186
Epoch 30: Loss 1.77, Reward 4.0, Avgloss 2.50, Avgreward 4.16, Epsilon 0.01, TotalStep 1578388
Epoch 31: Loss 1.92, Reward 2.0, Avgloss 2.48, Avgreward 4.09, Epsilon 0.01, TotalStep 1578589
Epoch 32: Loss 2.27, Reward 3.0, Avgloss 2.48, Avgreward 4.06, Epsilon 0.01, TotalStep 1578820
Epoch 33: Loss 3.51, Reward 6.0, Avgloss 2.51, Avgreward 4.12, Epsilon 0.01, TotalStep 1579172
Epoch 34: Loss 2.11, Reward 2.0, Avgloss 2.50, Avgreward 4.06, Epsilon 0.01, TotalStep 1579388
Epoch 35: Loss 1.97, Reward 2.0, Avgloss 2.48, Avgreward 4.00, Epsilon 0.01, TotalStep 1579602
Epoch 36: Loss 5.34, Reward 12.0, Avgloss 2.56, Avgreward 4.22, Epsilon 0.01, TotalStep 1580134
Epoch 37: Loss 1.95, Reward 1.0, Avgloss 2.54, Avgreward 4.13, Epsilon 0.01, TotalStep 1580342
Epoch 38: Loss 2.78, Reward 5.0, Avgloss 2.55, Avgreward 4.15, Epsilon 0.01, TotalStep 1580599
Epoch 39: Loss 2.81, Reward 10.0, Avgloss 2.56, Avgreward 4.30, Epsilon 0.01, TotalStep 1580909
Epoch 40: Loss 3.37, Reward 7.0, Avgloss 2.58, Avgreward 4.37, Epsilon 0.01, TotalStep 1581255
Epoch 41: Loss 2.91, Reward 1.0, Avgloss 2.58, Avgreward 4.29, Epsilon 0.01, TotalStep 1581547
Epoch 42: Loss 3.71, Reward 6.0, Avgloss 2.61, Avgreward 4.33, Epsilon 0.01, TotalStep 1581920
Epoch 43: Loss 2.13, Reward 3.0, Avgloss 2.60, Avgreward 4.30, Epsilon 0.01, TotalStep 1582162
Epoch 44: Loss 1.96, Reward 1.0, Avgloss 2.59, Avgreward 4.22, Epsilon 0.01, TotalStep 1582363
Epoch 45: Loss 2.70, Reward 5.0, Avgloss 2.59, Avgreward 4.24, Epsilon 0.01, TotalStep 1582635
Epoch 46: Loss 2.57, Reward 2.0, Avgloss 2.59, Avgreward 4.19, Epsilon 0.01, TotalStep 1582900
Epoch 47: Loss 2.08, Reward 4.0, Avgloss 2.58, Avgreward 4.19, Epsilon 0.01, TotalStep 1583123
Epoch 48: Loss 2.59, Reward 2.0, Avgloss 2.58, Avgreward 4.14, Epsilon 0.01, TotalStep 1583411
Epoch 49: Loss 2.23, Reward 3.0, Avgloss 2.57, Avgreward 4.12, Epsilon 0.01, TotalStep 1583658
Epoch 50: Loss 2.08, Reward 2.0, Avgloss 2.56, Avgreward 4.08, Epsilon 0.01, TotalStep 1583863
Epoch 51: Loss 2.93, Reward 6.0, Avgloss 2.57, Avgreward 4.12, Epsilon 0.01, TotalStep 1584163
Epoch 52: Loss 2.68, Reward 5.0, Avgloss 2.57, Avgreward 4.13, Epsilon 0.01, TotalStep 1584418
Epoch 53: Loss 3.14, Reward 4.0, Avgloss 2.58, Avgreward 4.13, Epsilon 0.01, TotalStep 1584723
Epoch 54: Loss 2.99, Reward 5.0, Avgloss 2.59, Avgreward 4.15, Epsilon 0.01, TotalStep 1585028
Epoch 55: Loss 2.08, Reward 2.0, Avgloss 2.58, Avgreward 4.11, Epsilon 0.01, TotalStep 1585230
Epoch 56: Loss 2.72, Reward 4.0, Avgloss 2.58, Avgreward 4.11, Epsilon 0.01, TotalStep 1585520
Epoch 57: Loss 3.62, Reward 3.0, Avgloss 2.60, Avgreward 4.09, Epsilon 0.01, TotalStep 1585899
Epoch 58: Loss 2.38, Reward 3.0, Avgloss 2.60, Avgreward 4.07, Epsilon 0.01, TotalStep 1586135
Epoch 59: Loss 3.38, Reward 7.0, Avgloss 2.61, Avgreward 4.12, Epsilon 0.01, TotalStep 1586483
Epoch 60: Loss 1.80, Reward 2.0, Avgloss 2.60, Avgreward 4.08, Epsilon 0.01, TotalStep 1586672
Epoch 61: Loss 1.80, Reward 2.0, Avgloss 2.58, Avgreward 4.05, Epsilon 0.01, TotalStep 1586858
Epoch 62: Loss 3.59, Reward 8.0, Avgloss 2.60, Avgreward 4.11, Epsilon 0.01, TotalStep 1587239
Epoch 63: Loss 2.25, Reward 6.0, Avgloss 2.59, Avgreward 4.14, Epsilon 0.01, TotalStep 1587455
Epoch 64: Loss 1.82, Reward 2.0, Avgloss 2.58, Avgreward 4.11, Epsilon 0.01, TotalStep 1587643
Epoch 65: Loss 1.86, Reward 2.0, Avgloss 2.57, Avgreward 4.08, Epsilon 0.01, TotalStep 1587847
Epoch 66: Loss 2.44, Reward 3.0, Avgloss 2.57, Avgreward 4.06, Epsilon 0.01, TotalStep 1588107
Epoch 67: Loss 3.18, Reward 10.0, Avgloss 2.58, Avgreward 4.15, Epsilon 0.01, TotalStep 1588419
Epoch 68: Loss 2.36, Reward 6.0, Avgloss 2.57, Avgreward 4.17, Epsilon 0.01, TotalStep 1588654
Epoch 69: Loss 2.29, Reward 3.0, Avgloss 2.57, Avgreward 4.16, Epsilon 0.01, TotalStep 1588868
Epoch 70: Loss 4.38, Reward 10.0, Avgloss 2.60, Avgreward 4.24, Epsilon 0.01, TotalStep 1589346
Epoch 71: Loss 2.77, Reward 4.0, Avgloss 2.60, Avgreward 4.24, Epsilon 0.01, TotalStep 1589595
Epoch 72: Loss 2.15, Reward 2.0, Avgloss 2.59, Avgreward 4.21, Epsilon 0.01, TotalStep 1589818
Epoch 73: Loss 1.96, Reward 1.0, Avgloss 2.58, Avgreward 4.16, Epsilon 0.01, TotalStep 1590026
Epoch 74: Loss 2.48, Reward 5.0, Avgloss 2.58, Avgreward 4.17, Epsilon 0.01, TotalStep 1590285
Epoch 75: Loss 2.72, Reward 3.0, Avgloss 2.58, Avgreward 4.16, Epsilon 0.01, TotalStep 1590547
Epoch 76: Loss 2.76, Reward 5.0, Avgloss 2.59, Avgreward 4.17, Epsilon 0.01, TotalStep 1590822
Epoch 77: Loss 2.73, Reward 5.0, Avgloss 2.59, Avgreward 4.18, Epsilon 0.01, TotalStep 1591091
Epoch 78: Loss 1.94, Reward 4.0, Avgloss 2.58, Avgreward 4.18, Epsilon 0.01, TotalStep 1591301
Epoch 79: Loss 2.10, Reward 2.0, Avgloss 2.57, Avgreward 4.15, Epsilon 0.01, TotalStep 1591523
Epoch 80: Loss 3.13, Reward 8.0, Avgloss 2.58, Avgreward 4.20, Epsilon 0.01, TotalStep 1591852
Epoch 81: Loss 1.88, Reward 1.0, Avgloss 2.57, Avgreward 4.16, Epsilon 0.01, TotalStep 1592048
Epoch 82: Loss 2.11, Reward 3.0, Avgloss 2.57, Avgreward 4.14, Epsilon 0.01, TotalStep 1592263
Epoch 83: Loss 2.73, Reward 4.0, Avgloss 2.57, Avgreward 4.14, Epsilon 0.01, TotalStep 1592563
Epoch 84: Loss 3.09, Reward 6.0, Avgloss 2.57, Avgreward 4.16, Epsilon 0.01, TotalStep 1592898
Epoch 85: Loss 2.41, Reward 1.0, Avgloss 2.57, Avgreward 4.13, Epsilon 0.01, TotalStep 1593134
Epoch 86: Loss 2.49, Reward 6.0, Avgloss 2.57, Avgreward 4.15, Epsilon 0.01, TotalStep 1593403
Epoch 87: Loss 3.54, Reward 8.0, Avgloss 2.58, Avgreward 4.19, Epsilon 0.01, TotalStep 1593723
Epoch 88: Loss 2.71, Reward 5.0, Avgloss 2.58, Avgreward 4.20, Epsilon 0.01, TotalStep 1594007
Epoch 89: Loss 1.78, Reward 1.0, Avgloss 2.58, Avgreward 4.17, Epsilon 0.01, TotalStep 1594215
Epoch 90: Loss 2.68, Reward 7.0, Avgloss 2.58, Avgreward 4.20, Epsilon 0.01, TotalStep 1594513
Epoch 91: Loss 3.32, Reward 8.0, Avgloss 2.58, Avgreward 4.24, Epsilon 0.01, TotalStep 1594852
Epoch 92: Loss 3.80, Reward 12.0, Avgloss 2.60, Avgreward 4.32, Epsilon 0.01, TotalStep 1595214
Epoch 93: Loss 1.79, Reward 2.0, Avgloss 2.59, Avgreward 4.30, Epsilon 0.01, TotalStep 1595379
Epoch 94: Loss 2.84, Reward 3.0, Avgloss 2.59, Avgreward 4.28, Epsilon 0.01, TotalStep 1595667
Epoch 95: Loss 2.39, Reward 6.0, Avgloss 2.59, Avgreward 4.30, Epsilon 0.01, TotalStep 1595892
Epoch 96: Loss 1.97, Reward 0.0, Avgloss 2.58, Avgreward 4.26, Epsilon 0.01, TotalStep 1596090
Epoch 97: Loss 2.47, Reward 1.0, Avgloss 2.58, Avgreward 4.22, Epsilon 0.01, TotalStep 1596337
Epoch 98: Loss 2.67, Reward 4.0, Avgloss 2.58, Avgreward 4.22, Epsilon 0.01, TotalStep 1596586
Epoch 99: Loss 1.86, Reward 2.0, Avgloss 2.58, Avgreward 4.20, Epsilon 0.01, TotalStep 1596791
Epoch 100: Loss 1.98, Reward 3.0, Avgloss 2.57, Avgreward 4.17, Epsilon 0.01, TotalStep 1596992
Epoch 101: Loss 2.09, Reward 1.0, Avgloss 2.57, Avgreward 4.18, Epsilon 0.01, TotalStep 1597193
Epoch 102: Loss 2.60, Reward 9.0, Avgloss 2.57, Avgreward 4.26, Epsilon 0.01, TotalStep 1597477
