
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 3.68, Reward 6.0, Avgloss 3.68, Avgreward 6.00, Epsilon 0.01, TotalStep 1563392
Epoch 1: Loss 2.82, Reward 7.0, Avgloss 3.25, Avgreward 6.50, Epsilon 0.01, TotalStep 1563698
Epoch 2: Loss 2.17, Reward 3.0, Avgloss 2.89, Avgreward 5.33, Epsilon 0.01, TotalStep 1563917
Epoch 3: Loss 3.30, Reward 5.0, Avgloss 2.99, Avgreward 5.25, Epsilon 0.01, TotalStep 1564228
Epoch 4: Loss 3.73, Reward 4.0, Avgloss 3.14, Avgreward 5.00, Epsilon 0.01, TotalStep 1564591
Epoch 5: Loss 2.24, Reward 5.0, Avgloss 2.99, Avgreward 5.00, Epsilon 0.01, TotalStep 1564831
Epoch 6: Loss 2.74, Reward 3.0, Avgloss 2.95, Avgreward 4.71, Epsilon 0.01, TotalStep 1565111
Epoch 7: Loss 1.73, Reward 1.0, Avgloss 2.80, Avgreward 4.25, Epsilon 0.01, TotalStep 1565298
Epoch 8: Loss 2.07, Reward 0.0, Avgloss 2.72, Avgreward 3.78, Epsilon 0.01, TotalStep 1565510
Epoch 9: Loss 2.75, Reward 5.0, Avgloss 2.72, Avgreward 3.90, Epsilon 0.01, TotalStep 1565778
Epoch 10: Loss 2.88, Reward 3.0, Avgloss 2.74, Avgreward 3.82, Epsilon 0.01, TotalStep 1566055
Epoch 11: Loss 2.69, Reward 3.0, Avgloss 2.73, Avgreward 3.75, Epsilon 0.01, TotalStep 1566346
Epoch 12: Loss 2.52, Reward 5.0, Avgloss 2.72, Avgreward 3.85, Epsilon 0.01, TotalStep 1566618
Epoch 13: Loss 2.68, Reward 4.0, Avgloss 2.71, Avgreward 3.86, Epsilon 0.01, TotalStep 1566896
Epoch 14: Loss 2.36, Reward 3.0, Avgloss 2.69, Avgreward 3.80, Epsilon 0.01, TotalStep 1567124
Epoch 15: Loss 1.88, Reward 3.0, Avgloss 2.64, Avgreward 3.75, Epsilon 0.01, TotalStep 1567341
