
Warming up...
Eval epoch 0: Reward 5.0
Epoch 0: Loss 5.36, Reward 6.0, Avgloss 5.36, Avgreward 6.00, Epsilon 0.01, TotalStep 1661377
Epoch 1: Loss 1.90, Reward 1.0, Avgloss 3.63, Avgreward 3.50, Epsilon 0.01, TotalStep 1661577
Epoch 2: Loss 3.19, Reward 5.0, Avgloss 3.49, Avgreward 4.00, Epsilon 0.01, TotalStep 1661910
Epoch 3: Loss 1.95, Reward 5.0, Avgloss 3.10, Avgreward 4.25, Epsilon 0.01, TotalStep 1662104
Epoch 4: Loss 2.28, Reward 1.0, Avgloss 2.94, Avgreward 3.60, Epsilon 0.01, TotalStep 1662332
Epoch 5: Loss 4.11, Reward 5.0, Avgloss 3.13, Avgreward 3.83, Epsilon 0.01, TotalStep 1662753
Epoch 6: Loss 1.94, Reward 1.0, Avgloss 2.96, Avgreward 3.43, Epsilon 0.01, TotalStep 1662963
Epoch 7: Loss 1.65, Reward 3.0, Avgloss 2.80, Avgreward 3.38, Epsilon 0.01, TotalStep 1663163
Epoch 8: Loss 4.90, Reward 6.0, Avgloss 3.03, Avgreward 3.67, Epsilon 0.01, TotalStep 1663697
Epoch 9: Loss 5.61, Reward 7.0, Avgloss 3.29, Avgreward 4.00, Epsilon 0.01, TotalStep 1664336
Epoch 10: Loss 2.66, Reward 1.0, Avgloss 3.23, Avgreward 3.73, Epsilon 0.01, TotalStep 1664626
Epoch 11: Loss 8.31, Reward 9.0, Avgloss 3.65, Avgreward 4.17, Epsilon 0.01, TotalStep 1665539
Epoch 12: Loss 2.47, Reward 3.0, Avgloss 3.56, Avgreward 4.08, Epsilon 0.01, TotalStep 1665812
Epoch 13: Loss 6.02, Reward 9.0, Avgloss 3.74, Avgreward 4.43, Epsilon 0.01, TotalStep 1666467
Epoch 14: Loss 3.33, Reward 2.0, Avgloss 3.71, Avgreward 4.27, Epsilon 0.01, TotalStep 1666826
Epoch 15: Loss 3.78, Reward 2.0, Avgloss 3.72, Avgreward 4.12, Epsilon 0.01, TotalStep 1667232
Epoch 16: Loss 1.52, Reward 1.0, Avgloss 3.59, Avgreward 3.94, Epsilon 0.01, TotalStep 1667428
Epoch 17: Loss 3.96, Reward 3.0, Avgloss 3.61, Avgreward 3.89, Epsilon 0.01, TotalStep 1667846
Epoch 18: Loss 1.77, Reward 1.0, Avgloss 3.51, Avgreward 3.74, Epsilon 0.01, TotalStep 1668071
Epoch 19: Loss 6.83, Reward 10.0, Avgloss 3.68, Avgreward 4.05, Epsilon 0.01, TotalStep 1668899
Epoch 20: Loss 1.96, Reward 1.0, Avgloss 3.59, Avgreward 3.90, Epsilon 0.01, TotalStep 1669137
Epoch 21: Loss 4.48, Reward 4.0, Avgloss 3.63, Avgreward 3.91, Epsilon 0.01, TotalStep 1669609
Epoch 22: Loss 5.05, Reward 4.0, Avgloss 3.70, Avgreward 3.91, Epsilon 0.01, TotalStep 1670192
Epoch 23: Loss 4.20, Reward 7.0, Avgloss 3.72, Avgreward 4.04, Epsilon 0.01, TotalStep 1670730
Epoch 24: Loss 4.98, Reward 7.0, Avgloss 3.77, Avgreward 4.16, Epsilon 0.01, TotalStep 1671399
Epoch 25: Loss 4.53, Reward 4.0, Avgloss 3.80, Avgreward 4.15, Epsilon 0.01, TotalStep 1671970
Epoch 26: Loss 4.23, Reward 5.0, Avgloss 3.81, Avgreward 4.19, Epsilon 0.01, TotalStep 1672471
Epoch 27: Loss 3.74, Reward 4.0, Avgloss 3.81, Avgreward 4.18, Epsilon 0.01, TotalStep 1672939
Epoch 28: Loss 3.53, Reward 4.0, Avgloss 3.80, Avgreward 4.17, Epsilon 0.01, TotalStep 1673355
Epoch 29: Loss 1.86, Reward 1.0, Avgloss 3.74, Avgreward 4.07, Epsilon 0.01, TotalStep 1673581
Epoch 30: Loss 3.62, Reward 4.0, Avgloss 3.73, Avgreward 4.06, Epsilon 0.01, TotalStep 1674025
Epoch 31: Loss 8.48, Reward 12.0, Avgloss 3.88, Avgreward 4.31, Epsilon 0.01, TotalStep 1675034
Epoch 32: Loss 3.08, Reward 6.0, Avgloss 3.86, Avgreward 4.36, Epsilon 0.01, TotalStep 1675471
Epoch 33: Loss 4.70, Reward 8.0, Avgloss 3.88, Avgreward 4.47, Epsilon 0.01, TotalStep 1676059
Epoch 34: Loss 1.96, Reward 2.0, Avgloss 3.83, Avgreward 4.40, Epsilon 0.01, TotalStep 1676263
Epoch 35: Loss 2.87, Reward 4.0, Avgloss 3.80, Avgreward 4.39, Epsilon 0.01, TotalStep 1676645
Epoch 36: Loss 2.57, Reward 2.0, Avgloss 3.77, Avgreward 4.32, Epsilon 0.01, TotalStep 1676917
Epoch 37: Loss 1.68, Reward 3.0, Avgloss 3.71, Avgreward 4.29, Epsilon 0.01, TotalStep 1677122
Epoch 38: Loss 4.39, Reward 5.0, Avgloss 3.73, Avgreward 4.31, Epsilon 0.01, TotalStep 1677661
Epoch 39: Loss 2.40, Reward 2.0, Avgloss 3.70, Avgreward 4.25, Epsilon 0.01, TotalStep 1677954
Epoch 40: Loss 1.72, Reward 1.0, Avgloss 3.65, Avgreward 4.17, Epsilon 0.01, TotalStep 1678178
Epoch 41: Loss 1.80, Reward 1.0, Avgloss 3.60, Avgreward 4.10, Epsilon 0.01, TotalStep 1678399
Epoch 42: Loss 2.19, Reward 5.0, Avgloss 3.57, Avgreward 4.12, Epsilon 0.01, TotalStep 1678729
Epoch 43: Loss 2.27, Reward 5.0, Avgloss 3.54, Avgreward 4.14, Epsilon 0.01, TotalStep 1679007
Epoch 44: Loss 2.22, Reward 2.0, Avgloss 3.51, Avgreward 4.09, Epsilon 0.01, TotalStep 1679304
Epoch 45: Loss 3.77, Reward 5.0, Avgloss 3.52, Avgreward 4.11, Epsilon 0.01, TotalStep 1679798
Epoch 46: Loss 2.58, Reward 4.0, Avgloss 3.50, Avgreward 4.11, Epsilon 0.01, TotalStep 1680139
Epoch 47: Loss 1.91, Reward 3.0, Avgloss 3.46, Avgreward 4.08, Epsilon 0.01, TotalStep 1680408
Epoch 48: Loss 2.40, Reward 2.0, Avgloss 3.44, Avgreward 4.04, Epsilon 0.01, TotalStep 1680713
Epoch 49: Loss 4.91, Reward 10.0, Avgloss 3.47, Avgreward 4.16, Epsilon 0.01, TotalStep 1681296
Epoch 50: Loss 2.36, Reward 3.0, Avgloss 3.45, Avgreward 4.14, Epsilon 0.01, TotalStep 1681599
Epoch 51: Loss 2.16, Reward 5.0, Avgloss 3.43, Avgreward 4.15, Epsilon 0.01, TotalStep 1681882
Epoch 52: Loss 2.85, Reward 2.0, Avgloss 3.42, Avgreward 4.11, Epsilon 0.01, TotalStep 1682240
Epoch 53: Loss 6.95, Reward 7.0, Avgloss 3.48, Avgreward 4.17, Epsilon 0.01, TotalStep 1683100
Epoch 54: Loss 3.14, Reward 5.0, Avgloss 3.47, Avgreward 4.18, Epsilon 0.01, TotalStep 1683575
Epoch 55: Loss 5.14, Reward 7.0, Avgloss 3.50, Avgreward 4.23, Epsilon 0.01, TotalStep 1684236
Epoch 56: Loss 3.04, Reward 3.0, Avgloss 3.50, Avgreward 4.21, Epsilon 0.01, TotalStep 1684668
Epoch 57: Loss 4.90, Reward 8.0, Avgloss 3.52, Avgreward 4.28, Epsilon 0.01, TotalStep 1685351
Epoch 58: Loss 1.61, Reward 2.0, Avgloss 3.49, Avgreward 4.24, Epsilon 0.01, TotalStep 1685575
Epoch 59: Loss 5.05, Reward 9.0, Avgloss 3.51, Avgreward 4.32, Epsilon 0.01, TotalStep 1686311
Epoch 60: Loss 1.79, Reward 2.0, Avgloss 3.49, Avgreward 4.28, Epsilon 0.01, TotalStep 1686535
Epoch 61: Loss 3.10, Reward 5.0, Avgloss 3.48, Avgreward 4.29, Epsilon 0.01, TotalStep 1687004
Epoch 62: Loss 2.86, Reward 3.0, Avgloss 3.47, Avgreward 4.27, Epsilon 0.01, TotalStep 1687367
Epoch 63: Loss 2.15, Reward 2.0, Avgloss 3.45, Avgreward 4.23, Epsilon 0.01, TotalStep 1687685
Epoch 64: Loss 4.18, Reward 4.0, Avgloss 3.46, Avgreward 4.23, Epsilon 0.01, TotalStep 1688206
Epoch 65: Loss 5.49, Reward 12.0, Avgloss 3.49, Avgreward 4.35, Epsilon 0.01, TotalStep 1688970
Epoch 66: Loss 3.02, Reward 4.0, Avgloss 3.48, Avgreward 4.34, Epsilon 0.01, TotalStep 1689358
Epoch 67: Loss 2.53, Reward 8.0, Avgloss 3.47, Avgreward 4.40, Epsilon 0.01, TotalStep 1689726
Epoch 68: Loss 2.99, Reward 2.0, Avgloss 3.46, Avgreward 4.36, Epsilon 0.01, TotalStep 1690089
Epoch 69: Loss 3.15, Reward 3.0, Avgloss 3.46, Avgreward 4.34, Epsilon 0.01, TotalStep 1690479
Epoch 70: Loss 3.08, Reward 7.0, Avgloss 3.45, Avgreward 4.38, Epsilon 0.01, TotalStep 1690881
Epoch 71: Loss 2.37, Reward 3.0, Avgloss 3.44, Avgreward 4.36, Epsilon 0.01, TotalStep 1691237
Epoch 72: Loss 2.90, Reward 3.0, Avgloss 3.43, Avgreward 4.34, Epsilon 0.01, TotalStep 1691643
Epoch 73: Loss 1.61, Reward 4.0, Avgloss 3.41, Avgreward 4.34, Epsilon 0.01, TotalStep 1691843
Epoch 74: Loss 4.37, Reward 5.0, Avgloss 3.42, Avgreward 4.35, Epsilon 0.01, TotalStep 1692431
Epoch 75: Loss 2.66, Reward 5.0, Avgloss 3.41, Avgreward 4.36, Epsilon 0.01, TotalStep 1692828
Epoch 76: Loss 1.40, Reward 2.0, Avgloss 3.38, Avgreward 4.32, Epsilon 0.01, TotalStep 1693003
Epoch 77: Loss 1.40, Reward 3.0, Avgloss 3.36, Avgreward 4.31, Epsilon 0.01, TotalStep 1693193
Epoch 78: Loss 5.46, Reward 10.0, Avgloss 3.38, Avgreward 4.38, Epsilon 0.01, TotalStep 1693992
Epoch 79: Loss 1.30, Reward 4.0, Avgloss 3.36, Avgreward 4.38, Epsilon 0.01, TotalStep 1694187
Epoch 80: Loss 2.85, Reward 3.0, Avgloss 3.35, Avgreward 4.36, Epsilon 0.01, TotalStep 1694559
Epoch 81: Loss 3.46, Reward 4.0, Avgloss 3.35, Avgreward 4.35, Epsilon 0.01, TotalStep 1695020
Epoch 82: Loss 5.30, Reward 11.0, Avgloss 3.38, Avgreward 4.43, Epsilon 0.01, TotalStep 1695773
Epoch 83: Loss 3.27, Reward 3.0, Avgloss 3.37, Avgreward 4.42, Epsilon 0.01, TotalStep 1696196
Epoch 84: Loss 1.99, Reward 2.0, Avgloss 3.36, Avgreward 4.39, Epsilon 0.01, TotalStep 1696451
Epoch 85: Loss 1.86, Reward 2.0, Avgloss 3.34, Avgreward 4.36, Epsilon 0.01, TotalStep 1696721
