
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.38, Reward 4.0, Avgloss 2.38, Avgreward 4.00, Epsilon 0.11, TotalStep 267
Epoch 1: Loss 2.66, Reward 3.0, Avgloss 2.52, Avgreward 3.50, Epsilon 0.11, TotalStep 570
Epoch 2: Loss 1.55, Reward 3.0, Avgloss 2.19, Avgreward 3.33, Epsilon 0.11, TotalStep 760
Epoch 3: Loss 1.76, Reward 1.0, Avgloss 2.09, Avgreward 2.75, Epsilon 0.11, TotalStep 966
Epoch 4: Loss 1.72, Reward 0.0, Avgloss 2.01, Avgreward 2.20, Epsilon 0.11, TotalStep 1167
Epoch 5: Loss 1.67, Reward 1.0, Avgloss 1.96, Avgreward 2.00, Epsilon 0.11, TotalStep 1364
Epoch 6: Loss 2.80, Reward 7.0, Avgloss 2.08, Avgreward 2.71, Epsilon 0.11, TotalStep 1718
Epoch 7: Loss 1.49, Reward 2.0, Avgloss 2.00, Avgreward 2.62, Epsilon 0.11, TotalStep 1882
Epoch 8: Loss 2.63, Reward 7.0, Avgloss 2.07, Avgreward 3.11, Epsilon 0.11, TotalStep 2199
Epoch 9: Loss 2.19, Reward 4.0, Avgloss 2.09, Avgreward 3.20, Epsilon 0.11, TotalStep 2469
Epoch 10: Loss 2.02, Reward 4.0, Avgloss 2.08, Avgreward 3.27, Epsilon 0.11, TotalStep 2738
Epoch 11: Loss 2.26, Reward 6.0, Avgloss 2.09, Avgreward 3.50, Epsilon 0.11, TotalStep 3007
Epoch 12: Loss 2.28, Reward 3.0, Avgloss 2.11, Avgreward 3.46, Epsilon 0.11, TotalStep 3297
Epoch 13: Loss 1.65, Reward 2.0, Avgloss 2.08, Avgreward 3.36, Epsilon 0.11, TotalStep 3505
Epoch 14: Loss 1.87, Reward 3.0, Avgloss 2.06, Avgreward 3.33, Epsilon 0.11, TotalStep 3741
Epoch 15: Loss 2.05, Reward 6.0, Avgloss 2.06, Avgreward 3.50, Epsilon 0.11, TotalStep 3990
Epoch 16: Loss 1.90, Reward 1.0, Avgloss 2.05, Avgreward 3.35, Epsilon 0.11, TotalStep 4206
Epoch 17: Loss 2.32, Reward 5.0, Avgloss 2.07, Avgreward 3.44, Epsilon 0.11, TotalStep 4473
Epoch 18: Loss 2.02, Reward 7.0, Avgloss 2.06, Avgreward 3.63, Epsilon 0.11, TotalStep 4738
Epoch 19: Loss 2.21, Reward 2.0, Avgloss 2.07, Avgreward 3.55, Epsilon 0.11, TotalStep 4984
Epoch 20: Loss 2.65, Reward 6.0, Avgloss 2.10, Avgreward 3.67, Epsilon 0.11, TotalStep 5332
Epoch 21: Loss 2.40, Reward 6.0, Avgloss 2.11, Avgreward 3.77, Epsilon 0.11, TotalStep 5584
Epoch 22: Loss 3.30, Reward 3.0, Avgloss 2.16, Avgreward 3.74, Epsilon 0.11, TotalStep 5945
Epoch 23: Loss 1.97, Reward 3.0, Avgloss 2.16, Avgreward 3.71, Epsilon 0.11, TotalStep 6156
Epoch 24: Loss 1.54, Reward 0.0, Avgloss 2.13, Avgreward 3.56, Epsilon 0.10, TotalStep 6352
Epoch 25: Loss 2.01, Reward 1.0, Avgloss 2.13, Avgreward 3.46, Epsilon 0.10, TotalStep 6585
Epoch 26: Loss 2.03, Reward 3.0, Avgloss 2.12, Avgreward 3.44, Epsilon 0.10, TotalStep 6846
Epoch 27: Loss 1.75, Reward 2.0, Avgloss 2.11, Avgreward 3.39, Epsilon 0.10, TotalStep 7047
Epoch 28: Loss 2.36, Reward 2.0, Avgloss 2.12, Avgreward 3.34, Epsilon 0.10, TotalStep 7370
Epoch 29: Loss 1.83, Reward 3.0, Avgloss 2.11, Avgreward 3.33, Epsilon 0.10, TotalStep 7585
Epoch 30: Loss 1.59, Reward 2.0, Avgloss 2.09, Avgreward 3.29, Epsilon 0.10, TotalStep 7783
Epoch 31: Loss 1.68, Reward 3.0, Avgloss 2.08, Avgreward 3.28, Epsilon 0.10, TotalStep 7992
Epoch 32: Loss 1.58, Reward 2.0, Avgloss 2.06, Avgreward 3.24, Epsilon 0.10, TotalStep 8187
Epoch 33: Loss 3.90, Reward 5.0, Avgloss 2.12, Avgreward 3.29, Epsilon 0.10, TotalStep 8715
Epoch 34: Loss 1.78, Reward 1.0, Avgloss 2.11, Avgreward 3.23, Epsilon 0.10, TotalStep 8921
Epoch 35: Loss 1.36, Reward 2.0, Avgloss 2.09, Avgreward 3.19, Epsilon 0.10, TotalStep 9120
Epoch 36: Loss 1.88, Reward 2.0, Avgloss 2.08, Avgreward 3.16, Epsilon 0.10, TotalStep 9339
Epoch 37: Loss 1.36, Reward 2.0, Avgloss 2.06, Avgreward 3.13, Epsilon 0.10, TotalStep 9535
Epoch 38: Loss 1.97, Reward 3.0, Avgloss 2.06, Avgreward 3.13, Epsilon 0.10, TotalStep 9765
Epoch 39: Loss 1.59, Reward 1.0, Avgloss 2.05, Avgreward 3.08, Epsilon 0.10, TotalStep 9964
Epoch 40: Loss 3.39, Reward 7.0, Avgloss 2.08, Avgreward 3.17, Epsilon 0.10, TotalStep 10417
Epoch 41: Loss 1.48, Reward 3.0, Avgloss 2.07, Avgreward 3.17, Epsilon 0.10, TotalStep 10605
Epoch 42: Loss 2.25, Reward 11.0, Avgloss 2.07, Avgreward 3.35, Epsilon 0.10, TotalStep 10912
Epoch 43: Loss 1.66, Reward 2.0, Avgloss 2.06, Avgreward 3.32, Epsilon 0.10, TotalStep 11193
Epoch 44: Loss 3.87, Reward 11.0, Avgloss 2.10, Avgreward 3.49, Epsilon 0.10, TotalStep 11705
Epoch 45: Loss 1.63, Reward 2.0, Avgloss 2.09, Avgreward 3.46, Epsilon 0.10, TotalStep 11918
Epoch 46: Loss 2.60, Reward 6.0, Avgloss 2.10, Avgreward 3.51, Epsilon 0.10, TotalStep 12274
Epoch 47: Loss 2.51, Reward 2.0, Avgloss 2.11, Avgreward 3.48, Epsilon 0.10, TotalStep 12610
Epoch 48: Loss 1.55, Reward 2.0, Avgloss 2.10, Avgreward 3.45, Epsilon 0.10, TotalStep 12812
Epoch 49: Loss 2.20, Reward 3.0, Avgloss 2.10, Avgreward 3.44, Epsilon 0.10, TotalStep 13086
Epoch 50: Loss 1.43, Reward 2.0, Avgloss 2.09, Avgreward 3.41, Epsilon 0.10, TotalStep 13256
Epoch 51: Loss 2.94, Reward 10.0, Avgloss 2.11, Avgreward 3.54, Epsilon 0.10, TotalStep 13673
Epoch 52: Loss 2.81, Reward 6.0, Avgloss 2.12, Avgreward 3.58, Epsilon 0.10, TotalStep 14014
Epoch 53: Loss 3.37, Reward 9.0, Avgloss 2.14, Avgreward 3.69, Epsilon 0.10, TotalStep 14489
Epoch 54: Loss 2.18, Reward 4.0, Avgloss 2.14, Avgreward 3.69, Epsilon 0.10, TotalStep 14825
Epoch 55: Loss 2.81, Reward 5.0, Avgloss 2.15, Avgreward 3.71, Epsilon 0.10, TotalStep 15168
Epoch 56: Loss 2.97, Reward 6.0, Avgloss 2.17, Avgreward 3.75, Epsilon 0.10, TotalStep 15566
Epoch 57: Loss 2.07, Reward 3.0, Avgloss 2.17, Avgreward 3.74, Epsilon 0.10, TotalStep 15821
Epoch 58: Loss 1.63, Reward 4.0, Avgloss 2.16, Avgreward 3.75, Epsilon 0.10, TotalStep 16034
Epoch 59: Loss 1.88, Reward 4.0, Avgloss 2.15, Avgreward 3.75, Epsilon 0.10, TotalStep 16269
Epoch 60: Loss 2.91, Reward 4.0, Avgloss 2.17, Avgreward 3.75, Epsilon 0.10, TotalStep 16650
Epoch 61: Loss 3.29, Reward 6.0, Avgloss 2.18, Avgreward 3.79, Epsilon 0.10, TotalStep 17081
Epoch 62: Loss 2.25, Reward 5.0, Avgloss 2.19, Avgreward 3.81, Epsilon 0.09, TotalStep 17354
Epoch 63: Loss 2.44, Reward 3.0, Avgloss 2.19, Avgreward 3.80, Epsilon 0.09, TotalStep 17661
Epoch 64: Loss 2.78, Reward 7.0, Avgloss 2.20, Avgreward 3.85, Epsilon 0.09, TotalStep 17971
Epoch 65: Loss 1.58, Reward 4.0, Avgloss 2.19, Avgreward 3.85, Epsilon 0.09, TotalStep 18208
Epoch 66: Loss 1.50, Reward 2.0, Avgloss 2.18, Avgreward 3.82, Epsilon 0.09, TotalStep 18408
Epoch 67: Loss 2.44, Reward 6.0, Avgloss 2.18, Avgreward 3.85, Epsilon 0.09, TotalStep 18696
Epoch 68: Loss 2.38, Reward 7.0, Avgloss 2.19, Avgreward 3.90, Epsilon 0.09, TotalStep 19000
Epoch 69: Loss 1.18, Reward 2.0, Avgloss 2.17, Avgreward 3.87, Epsilon 0.09, TotalStep 19175
Epoch 70: Loss 1.61, Reward 1.0, Avgloss 2.16, Avgreward 3.83, Epsilon 0.09, TotalStep 19392
Epoch 71: Loss 5.12, Reward 16.0, Avgloss 2.20, Avgreward 4.00, Epsilon 0.09, TotalStep 20056
Epoch 72: Loss 2.06, Reward 6.0, Avgloss 2.20, Avgreward 4.03, Epsilon 0.09, TotalStep 20335
Epoch 73: Loss 2.83, Reward 7.0, Avgloss 2.21, Avgreward 4.07, Epsilon 0.09, TotalStep 20676
Epoch 74: Loss 1.61, Reward 3.0, Avgloss 2.20, Avgreward 4.05, Epsilon 0.09, TotalStep 20876
Epoch 75: Loss 3.15, Reward 7.0, Avgloss 2.21, Avgreward 4.09, Epsilon 0.09, TotalStep 21231
Epoch 76: Loss 1.49, Reward 2.0, Avgloss 2.21, Avgreward 4.06, Epsilon 0.09, TotalStep 21436
Epoch 77: Loss 1.69, Reward 1.0, Avgloss 2.20, Avgreward 4.03, Epsilon 0.09, TotalStep 21633
Epoch 78: Loss 1.87, Reward 4.0, Avgloss 2.19, Avgreward 4.03, Epsilon 0.09, TotalStep 21863
Epoch 79: Loss 2.20, Reward 5.0, Avgloss 2.19, Avgreward 4.04, Epsilon 0.09, TotalStep 22129
Epoch 80: Loss 2.71, Reward 6.0, Avgloss 2.20, Avgreward 4.06, Epsilon 0.09, TotalStep 22455
Epoch 81: Loss 1.45, Reward 2.0, Avgloss 2.19, Avgreward 4.04, Epsilon 0.09, TotalStep 22653
Epoch 82: Loss 1.80, Reward 2.0, Avgloss 2.19, Avgreward 4.01, Epsilon 0.09, TotalStep 22857
Epoch 83: Loss 1.59, Reward 1.0, Avgloss 2.18, Avgreward 3.98, Epsilon 0.09, TotalStep 23070
Epoch 84: Loss 1.66, Reward 2.0, Avgloss 2.17, Avgreward 3.95, Epsilon 0.09, TotalStep 23274
Epoch 85: Loss 1.87, Reward 4.0, Avgloss 2.17, Avgreward 3.95, Epsilon 0.09, TotalStep 23513
Epoch 86: Loss 3.25, Reward 7.0, Avgloss 2.18, Avgreward 3.99, Epsilon 0.09, TotalStep 23878
Epoch 87: Loss 2.61, Reward 8.0, Avgloss 2.19, Avgreward 4.03, Epsilon 0.09, TotalStep 24209
Epoch 88: Loss 1.34, Reward 2.0, Avgloss 2.18, Avgreward 4.01, Epsilon 0.09, TotalStep 24407
Epoch 89: Loss 3.40, Reward 6.0, Avgloss 2.19, Avgreward 4.03, Epsilon 0.09, TotalStep 24865
Epoch 90: Loss 4.12, Reward 12.0, Avgloss 2.21, Avgreward 4.12, Epsilon 0.09, TotalStep 25399
Epoch 91: Loss 1.67, Reward 2.0, Avgloss 2.21, Avgreward 4.10, Epsilon 0.09, TotalStep 25596
Epoch 92: Loss 2.04, Reward 3.0, Avgloss 2.21, Avgreward 4.09, Epsilon 0.09, TotalStep 25885
Epoch 93: Loss 1.75, Reward 2.0, Avgloss 2.20, Avgreward 4.06, Epsilon 0.09, TotalStep 26103
Epoch 94: Loss 1.91, Reward 3.0, Avgloss 2.20, Avgreward 4.05, Epsilon 0.09, TotalStep 26349
Epoch 95: Loss 1.90, Reward 3.0, Avgloss 2.19, Avgreward 4.04, Epsilon 0.09, TotalStep 26614
Epoch 96: Loss 2.77, Reward 7.0, Avgloss 2.20, Avgreward 4.07, Epsilon 0.09, TotalStep 26970
Epoch 97: Loss 2.07, Reward 4.0, Avgloss 2.20, Avgreward 4.07, Epsilon 0.09, TotalStep 27244
Epoch 98: Loss 2.87, Reward 8.0, Avgloss 2.21, Avgreward 4.11, Epsilon 0.09, TotalStep 27609
Epoch 99: Loss 3.63, Reward 7.0, Avgloss 2.22, Avgreward 4.14, Epsilon 0.09, TotalStep 28026
Epoch 100: Loss 2.49, Reward 3.0, Avgloss 2.22, Avgreward 4.13, Epsilon 0.09, TotalStep 28319
Epoch 101: Loss 2.63, Reward 4.0, Avgloss 2.22, Avgreward 4.14, Epsilon 0.09, TotalStep 28659
Epoch 102: Loss 2.25, Reward 3.0, Avgloss 2.23, Avgreward 4.14, Epsilon 0.09, TotalStep 28953
Epoch 103: Loss 1.65, Reward 6.0, Avgloss 2.23, Avgreward 4.19, Epsilon 0.09, TotalStep 29165
Epoch 104: Loss 2.52, Reward 10.0, Avgloss 2.23, Avgreward 4.29, Epsilon 0.09, TotalStep 29504
Epoch 105: Loss 1.66, Reward 2.0, Avgloss 2.23, Avgreward 4.30, Epsilon 0.08, TotalStep 29726
Epoch 106: Loss 1.53, Reward 2.0, Avgloss 2.22, Avgreward 4.25, Epsilon 0.08, TotalStep 29921
Epoch 107: Loss 1.63, Reward 4.0, Avgloss 2.22, Avgreward 4.27, Epsilon 0.08, TotalStep 30120
Epoch 108: Loss 3.24, Reward 10.0, Avgloss 2.23, Avgreward 4.30, Epsilon 0.08, TotalStep 30554
Epoch 109: Loss 1.64, Reward 2.0, Avgloss 2.22, Avgreward 4.28, Epsilon 0.08, TotalStep 30751
Epoch 110: Loss 1.52, Reward 3.0, Avgloss 2.22, Avgreward 4.27, Epsilon 0.08, TotalStep 30950
Epoch 111: Loss 1.36, Reward 1.0, Avgloss 2.21, Avgreward 4.22, Epsilon 0.08, TotalStep 31111
Epoch 112: Loss 1.59, Reward 3.0, Avgloss 2.20, Avgreward 4.22, Epsilon 0.08, TotalStep 31331
Epoch 113: Loss 1.56, Reward 4.0, Avgloss 2.20, Avgreward 4.24, Epsilon 0.08, TotalStep 31538
Epoch 114: Loss 1.94, Reward 3.0, Avgloss 2.20, Avgreward 4.24, Epsilon 0.08, TotalStep 31802
Epoch 115: Loss 2.83, Reward 7.0, Avgloss 2.21, Avgreward 4.25, Epsilon 0.08, TotalStep 32141
Epoch 116: Loss 1.31, Reward 4.0, Avgloss 2.20, Avgreward 4.28, Epsilon 0.08, TotalStep 32322
Epoch 117: Loss 2.44, Reward 3.0, Avgloss 2.21, Avgreward 4.26, Epsilon 0.08, TotalStep 32649
Epoch 118: Loss 2.23, Reward 5.0, Avgloss 2.21, Avgreward 4.24, Epsilon 0.08, TotalStep 32936
Epoch 119: Loss 1.72, Reward 1.0, Avgloss 2.20, Avgreward 4.23, Epsilon 0.08, TotalStep 33136
Epoch 120: Loss 1.74, Reward 3.0, Avgloss 2.19, Avgreward 4.20, Epsilon 0.08, TotalStep 33350
Epoch 121: Loss 1.60, Reward 1.0, Avgloss 2.19, Avgreward 4.15, Epsilon 0.08, TotalStep 33552
Epoch 122: Loss 1.87, Reward 3.0, Avgloss 2.17, Avgreward 4.15, Epsilon 0.08, TotalStep 33789
Epoch 123: Loss 1.49, Reward 2.0, Avgloss 2.17, Avgreward 4.14, Epsilon 0.08, TotalStep 33986
Epoch 124: Loss 1.56, Reward 2.0, Avgloss 2.17, Avgreward 4.16, Epsilon 0.08, TotalStep 34212
Epoch 125: Loss 2.25, Reward 6.0, Avgloss 2.17, Avgreward 4.21, Epsilon 0.08, TotalStep 34486
Epoch 126: Loss 1.86, Reward 5.0, Avgloss 2.17, Avgreward 4.23, Epsilon 0.08, TotalStep 34720
Epoch 127: Loss 1.40, Reward 1.0, Avgloss 2.16, Avgreward 4.22, Epsilon 0.08, TotalStep 34916
Epoch 128: Loss 1.60, Reward 2.0, Avgloss 2.16, Avgreward 4.22, Epsilon 0.08, TotalStep 35137
Epoch 129: Loss 2.48, Reward 4.0, Avgloss 2.16, Avgreward 4.23, Epsilon 0.08, TotalStep 35473
Epoch 130: Loss 1.81, Reward 2.0, Avgloss 2.17, Avgreward 4.23, Epsilon 0.08, TotalStep 35701
Epoch 131: Loss 1.58, Reward 1.0, Avgloss 2.16, Avgreward 4.21, Epsilon 0.08, TotalStep 35904
Epoch 132: Loss 1.48, Reward 4.0, Avgloss 2.16, Avgreward 4.23, Epsilon 0.08, TotalStep 36085
Epoch 133: Loss 1.59, Reward 2.0, Avgloss 2.14, Avgreward 4.20, Epsilon 0.08, TotalStep 36300
Epoch 134: Loss 3.01, Reward 7.0, Avgloss 2.15, Avgreward 4.26, Epsilon 0.08, TotalStep 36698
Epoch 135: Loss 2.39, Reward 5.0, Avgloss 2.16, Avgreward 4.29, Epsilon 0.08, TotalStep 37007
Epoch 136: Loss 3.32, Reward 5.0, Avgloss 2.18, Avgreward 4.32, Epsilon 0.08, TotalStep 37410
Epoch 137: Loss 1.36, Reward 2.0, Avgloss 2.18, Avgreward 4.32, Epsilon 0.08, TotalStep 37610
Epoch 138: Loss 1.69, Reward 1.0, Avgloss 2.17, Avgreward 4.30, Epsilon 0.08, TotalStep 37837
Epoch 139: Loss 1.93, Reward 1.0, Avgloss 2.18, Avgreward 4.30, Epsilon 0.08, TotalStep 38074
Epoch 140: Loss 2.44, Reward 3.0, Avgloss 2.17, Avgreward 4.26, Epsilon 0.08, TotalStep 38436
Epoch 141: Loss 2.26, Reward 3.0, Avgloss 2.18, Avgreward 4.26, Epsilon 0.08, TotalStep 38706
