
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.84, Reward 5.0, Avgloss 2.84, Avgreward 5.00, Epsilon 0.16, TotalStep 296
Epoch 1: Loss 2.73, Reward 7.0, Avgloss 2.79, Avgreward 6.00, Epsilon 0.16, TotalStep 583
Epoch 2: Loss 2.81, Reward 6.0, Avgloss 2.80, Avgreward 6.00, Epsilon 0.16, TotalStep 879
Epoch 3: Loss 1.79, Reward 2.0, Avgloss 2.54, Avgreward 5.00, Epsilon 0.16, TotalStep 1103
Epoch 4: Loss 2.21, Reward 4.0, Avgloss 2.48, Avgreward 4.80, Epsilon 0.16, TotalStep 1351
Epoch 5: Loss 2.33, Reward 3.0, Avgloss 2.45, Avgreward 4.50, Epsilon 0.16, TotalStep 1593
Epoch 6: Loss 1.70, Reward 5.0, Avgloss 2.35, Avgreward 4.57, Epsilon 0.16, TotalStep 1769
Epoch 7: Loss 2.02, Reward 3.0, Avgloss 2.30, Avgreward 4.38, Epsilon 0.16, TotalStep 1988
Epoch 8: Loss 2.10, Reward 2.0, Avgloss 2.28, Avgreward 4.11, Epsilon 0.16, TotalStep 2196
Epoch 9: Loss 1.94, Reward 1.0, Avgloss 2.25, Avgreward 3.80, Epsilon 0.16, TotalStep 2395
Epoch 10: Loss 3.07, Reward 3.0, Avgloss 2.32, Avgreward 3.73, Epsilon 0.15, TotalStep 2756
Epoch 11: Loss 1.93, Reward 2.0, Avgloss 2.29, Avgreward 3.58, Epsilon 0.15, TotalStep 2962
Epoch 12: Loss 2.98, Reward 4.0, Avgloss 2.34, Avgreward 3.62, Epsilon 0.15, TotalStep 3305
Epoch 13: Loss 2.01, Reward 2.0, Avgloss 2.32, Avgreward 3.50, Epsilon 0.15, TotalStep 3517
Epoch 14: Loss 2.02, Reward 3.0, Avgloss 2.30, Avgreward 3.47, Epsilon 0.15, TotalStep 3731
Epoch 15: Loss 1.46, Reward 1.0, Avgloss 2.25, Avgreward 3.31, Epsilon 0.15, TotalStep 3918
Epoch 16: Loss 1.67, Reward 1.0, Avgloss 2.21, Avgreward 3.18, Epsilon 0.15, TotalStep 4116
Epoch 17: Loss 2.62, Reward 3.0, Avgloss 2.24, Avgreward 3.17, Epsilon 0.15, TotalStep 4421
Epoch 18: Loss 1.64, Reward 2.0, Avgloss 2.20, Avgreward 3.11, Epsilon 0.15, TotalStep 4620
Epoch 19: Loss 2.31, Reward 5.0, Avgloss 2.21, Avgreward 3.20, Epsilon 0.15, TotalStep 4885
Epoch 20: Loss 2.35, Reward 1.0, Avgloss 2.22, Avgreward 3.10, Epsilon 0.15, TotalStep 5137
Epoch 21: Loss 2.45, Reward 4.0, Avgloss 2.23, Avgreward 3.14, Epsilon 0.15, TotalStep 5407
Epoch 22: Loss 1.82, Reward 4.0, Avgloss 2.21, Avgreward 3.17, Epsilon 0.15, TotalStep 5622
Epoch 23: Loss 2.27, Reward 7.0, Avgloss 2.21, Avgreward 3.33, Epsilon 0.15, TotalStep 5895
Epoch 24: Loss 2.16, Reward 6.0, Avgloss 2.21, Avgreward 3.44, Epsilon 0.15, TotalStep 6194
Epoch 25: Loss 1.81, Reward 0.0, Avgloss 2.19, Avgreward 3.31, Epsilon 0.15, TotalStep 6397
Epoch 26: Loss 1.68, Reward 3.0, Avgloss 2.17, Avgreward 3.30, Epsilon 0.15, TotalStep 6614
Epoch 27: Loss 3.69, Reward 12.0, Avgloss 2.23, Avgreward 3.61, Epsilon 0.15, TotalStep 7055
Epoch 28: Loss 3.28, Reward 7.0, Avgloss 2.27, Avgreward 3.72, Epsilon 0.15, TotalStep 7449
