
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 2.20, Reward 5.0, Avgloss 2.20, Avgreward 5.00, Epsilon 0.94, TotalStep 250
Epoch 1: Loss 2.31, Reward 1.0, Avgloss 2.26, Avgreward 3.00, Epsilon 0.94, TotalStep 463
Epoch 2: Loss 2.01, Reward 4.0, Avgloss 2.18, Avgreward 3.33, Epsilon 0.93, TotalStep 671
Epoch 3: Loss 2.19, Reward 5.0, Avgloss 2.18, Avgreward 3.75, Epsilon 0.93, TotalStep 916
Epoch 4: Loss 1.79, Reward 3.0, Avgloss 2.10, Avgreward 3.60, Epsilon 0.92, TotalStep 1119
Epoch 5: Loss 2.55, Reward 8.0, Avgloss 2.18, Avgreward 4.33, Epsilon 0.91, TotalStep 1391
Epoch 6: Loss 2.86, Reward 5.0, Avgloss 2.27, Avgreward 4.43, Epsilon 0.91, TotalStep 1732
Epoch 7: Loss 2.28, Reward 2.0, Avgloss 2.27, Avgreward 4.12, Epsilon 0.90, TotalStep 1970
Epoch 8: Loss 3.71, Reward 10.0, Avgloss 2.43, Avgreward 4.78, Epsilon 0.89, TotalStep 2372
Epoch 9: Loss 1.80, Reward 1.0, Avgloss 2.37, Avgreward 4.40, Epsilon 0.89, TotalStep 2579
Epoch 10: Loss 2.48, Reward 5.0, Avgloss 2.38, Avgreward 4.45, Epsilon 0.88, TotalStep 2874
Epoch 11: Loss 1.73, Reward 4.0, Avgloss 2.33, Avgreward 4.42, Epsilon 0.88, TotalStep 3056
Epoch 12: Loss 1.60, Reward 4.0, Avgloss 2.27, Avgreward 4.38, Epsilon 0.87, TotalStep 3240
Epoch 13: Loss 2.33, Reward 6.0, Avgloss 2.27, Avgreward 4.50, Epsilon 0.87, TotalStep 3474
Epoch 14: Loss 2.03, Reward 3.0, Avgloss 2.26, Avgreward 4.40, Epsilon 0.86, TotalStep 3676
Epoch 15: Loss 1.95, Reward 4.0, Avgloss 2.24, Avgreward 4.38, Epsilon 0.86, TotalStep 3892
Epoch 16: Loss 3.11, Reward 7.0, Avgloss 2.29, Avgreward 4.53, Epsilon 0.85, TotalStep 4238
Epoch 17: Loss 3.91, Reward 9.0, Avgloss 2.38, Avgreward 4.78, Epsilon 0.84, TotalStep 4614
Epoch 18: Loss 1.77, Reward 3.0, Avgloss 2.35, Avgreward 4.68, Epsilon 0.84, TotalStep 4832
Epoch 19: Loss 2.16, Reward 2.0, Avgloss 2.34, Avgreward 4.55, Epsilon 0.83, TotalStep 5048
Epoch 20: Loss 2.98, Reward 6.0, Avgloss 2.37, Avgreward 4.62, Epsilon 0.83, TotalStep 5334
Epoch 21: Loss 2.37, Reward 4.0, Avgloss 2.37, Avgreward 4.59, Epsilon 0.82, TotalStep 5570
Epoch 22: Loss 2.25, Reward 7.0, Avgloss 2.36, Avgreward 4.70, Epsilon 0.82, TotalStep 5806
Epoch 23: Loss 4.67, Reward 14.0, Avgloss 2.46, Avgreward 5.08, Epsilon 0.81, TotalStep 6264
Epoch 24: Loss 2.73, Reward 4.0, Avgloss 2.47, Avgreward 5.04, Epsilon 0.80, TotalStep 6542
Epoch 25: Loss 3.15, Reward 5.0, Avgloss 2.50, Avgreward 5.04, Epsilon 0.80, TotalStep 6868
Epoch 26: Loss 2.59, Reward 6.0, Avgloss 2.50, Avgreward 5.07, Epsilon 0.79, TotalStep 7122
Epoch 27: Loss 2.71, Reward 5.0, Avgloss 2.51, Avgreward 5.07, Epsilon 0.79, TotalStep 7360
Epoch 28: Loss 2.07, Reward 3.0, Avgloss 2.49, Avgreward 5.00, Epsilon 0.78, TotalStep 7563
Epoch 29: Loss 2.03, Reward 3.0, Avgloss 2.48, Avgreward 4.93, Epsilon 0.78, TotalStep 7771
Epoch 30: Loss 1.83, Reward 2.0, Avgloss 2.46, Avgreward 4.84, Epsilon 0.78, TotalStep 7972
Epoch 31: Loss 2.24, Reward 3.0, Avgloss 2.45, Avgreward 4.78, Epsilon 0.77, TotalStep 8195
Epoch 32: Loss 2.14, Reward 2.0, Avgloss 2.44, Avgreward 4.70, Epsilon 0.77, TotalStep 8399
Epoch 33: Loss 1.97, Reward 2.0, Avgloss 2.43, Avgreward 4.62, Epsilon 0.76, TotalStep 8602
Epoch 34: Loss 2.07, Reward 7.0, Avgloss 2.42, Avgreward 4.69, Epsilon 0.76, TotalStep 8832
Epoch 35: Loss 2.36, Reward 4.0, Avgloss 2.41, Avgreward 4.67, Epsilon 0.76, TotalStep 9054
Epoch 36: Loss 1.98, Reward 3.0, Avgloss 2.40, Avgreward 4.62, Epsilon 0.75, TotalStep 9263
Epoch 37: Loss 2.05, Reward 6.0, Avgloss 2.39, Avgreward 4.66, Epsilon 0.75, TotalStep 9486
Epoch 38: Loss 1.70, Reward 1.0, Avgloss 2.38, Avgreward 4.56, Epsilon 0.74, TotalStep 9684
Epoch 39: Loss 1.90, Reward 3.0, Avgloss 2.36, Avgreward 4.53, Epsilon 0.74, TotalStep 9884
Epoch 40: Loss 3.05, Reward 7.0, Avgloss 2.38, Avgreward 4.59, Epsilon 0.73, TotalStep 10170
Epoch 41: Loss 2.57, Reward 4.0, Avgloss 2.39, Avgreward 4.57, Epsilon 0.73, TotalStep 10421
Epoch 42: Loss 3.16, Reward 7.0, Avgloss 2.40, Avgreward 4.63, Epsilon 0.72, TotalStep 10719
Epoch 43: Loss 2.24, Reward 5.0, Avgloss 2.40, Avgreward 4.64, Epsilon 0.72, TotalStep 10935
Epoch 44: Loss 1.72, Reward 6.0, Avgloss 2.38, Avgreward 4.67, Epsilon 0.72, TotalStep 11135
Epoch 45: Loss 2.03, Reward 3.0, Avgloss 2.38, Avgreward 4.63, Epsilon 0.71, TotalStep 11340
Epoch 46: Loss 3.60, Reward 9.0, Avgloss 2.40, Avgreward 4.72, Epsilon 0.71, TotalStep 11696
Epoch 47: Loss 2.79, Reward 6.0, Avgloss 2.41, Avgreward 4.75, Epsilon 0.70, TotalStep 11968
Epoch 48: Loss 2.34, Reward 4.0, Avgloss 2.41, Avgreward 4.73, Epsilon 0.70, TotalStep 12165
Epoch 49: Loss 2.15, Reward 3.0, Avgloss 2.40, Avgreward 4.70, Epsilon 0.70, TotalStep 12374
Epoch 50: Loss 2.71, Reward 7.0, Avgloss 2.41, Avgreward 4.75, Epsilon 0.69, TotalStep 12632
Epoch 51: Loss 2.99, Reward 6.0, Avgloss 2.42, Avgreward 4.77, Epsilon 0.69, TotalStep 12930
Epoch 52: Loss 1.54, Reward 5.0, Avgloss 2.40, Avgreward 4.77, Epsilon 0.68, TotalStep 13095
Epoch 53: Loss 2.25, Reward 4.0, Avgloss 2.40, Avgreward 4.76, Epsilon 0.68, TotalStep 13297
Epoch 54: Loss 4.13, Reward 13.0, Avgloss 2.43, Avgreward 4.91, Epsilon 0.67, TotalStep 13683
