
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.14, Reward 5.0, Avgloss 2.14, Avgreward 5.00, Epsilon 0.72, TotalStep 229
Epoch 1: Loss 2.17, Reward 2.0, Avgloss 2.15, Avgreward 3.50, Epsilon 0.72, TotalStep 451
Epoch 2: Loss 2.40, Reward 5.0, Avgloss 2.24, Avgreward 4.00, Epsilon 0.72, TotalStep 708
Epoch 3: Loss 2.48, Reward 4.0, Avgloss 2.30, Avgreward 4.00, Epsilon 0.72, TotalStep 942
Epoch 4: Loss 2.22, Reward 3.0, Avgloss 2.28, Avgreward 3.80, Epsilon 0.72, TotalStep 1183
Epoch 5: Loss 2.27, Reward 2.0, Avgloss 2.28, Avgreward 3.50, Epsilon 0.72, TotalStep 1415
Epoch 6: Loss 1.99, Reward 3.0, Avgloss 2.24, Avgreward 3.43, Epsilon 0.71, TotalStep 1636
Epoch 7: Loss 1.74, Reward 4.0, Avgloss 2.18, Avgreward 3.50, Epsilon 0.71, TotalStep 1836
Epoch 8: Loss 1.97, Reward 2.0, Avgloss 2.15, Avgreward 3.33, Epsilon 0.71, TotalStep 2038
Epoch 9: Loss 3.26, Reward 10.0, Avgloss 2.27, Avgreward 4.00, Epsilon 0.71, TotalStep 2389
Epoch 10: Loss 1.85, Reward 2.0, Avgloss 2.23, Avgreward 3.82, Epsilon 0.71, TotalStep 2591
Epoch 11: Loss 1.92, Reward 2.0, Avgloss 2.20, Avgreward 3.67, Epsilon 0.71, TotalStep 2782
Epoch 12: Loss 2.01, Reward 2.0, Avgloss 2.19, Avgreward 3.54, Epsilon 0.71, TotalStep 2987
Epoch 13: Loss 1.76, Reward 3.0, Avgloss 2.16, Avgreward 3.50, Epsilon 0.71, TotalStep 3189
Epoch 14: Loss 1.92, Reward 3.0, Avgloss 2.14, Avgreward 3.47, Epsilon 0.70, TotalStep 3391
Epoch 15: Loss 2.08, Reward 4.0, Avgloss 2.14, Avgreward 3.50, Epsilon 0.70, TotalStep 3590
Epoch 16: Loss 2.82, Reward 6.0, Avgloss 2.18, Avgreward 3.65, Epsilon 0.70, TotalStep 3862
