
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 1.87, Reward 2.0, Avgloss 1.87, Avgreward 2.00, Epsilon 0.20, TotalStep 221
Epoch 1: Loss 1.63, Reward 2.0, Avgloss 1.75, Avgreward 2.00, Epsilon 0.20, TotalStep 422
Epoch 2: Loss 1.61, Reward 2.0, Avgloss 1.70, Avgreward 2.00, Epsilon 0.20, TotalStep 623
Epoch 3: Loss 2.58, Reward 3.0, Avgloss 1.92, Avgreward 2.25, Epsilon 0.19, TotalStep 907
Epoch 4: Loss 4.47, Reward 8.0, Avgloss 2.43, Avgreward 3.40, Epsilon 0.19, TotalStep 1367
Epoch 5: Loss 3.01, Reward 7.0, Avgloss 2.53, Avgreward 4.00, Epsilon 0.19, TotalStep 1718
Epoch 6: Loss 2.13, Reward 3.0, Avgloss 2.47, Avgreward 3.86, Epsilon 0.19, TotalStep 1944
Epoch 7: Loss 1.70, Reward 1.0, Avgloss 2.37, Avgreward 3.50, Epsilon 0.19, TotalStep 2149
Epoch 8: Loss 2.76, Reward 4.0, Avgloss 2.42, Avgreward 3.56, Epsilon 0.19, TotalStep 2490
Epoch 9: Loss 2.09, Reward 2.0, Avgloss 2.38, Avgreward 3.40, Epsilon 0.19, TotalStep 2686
Epoch 10: Loss 1.71, Reward 2.0, Avgloss 2.32, Avgreward 3.27, Epsilon 0.19, TotalStep 2907
Epoch 11: Loss 2.86, Reward 7.0, Avgloss 2.37, Avgreward 3.58, Epsilon 0.19, TotalStep 3231
Epoch 12: Loss 1.55, Reward 1.0, Avgloss 2.31, Avgreward 3.38, Epsilon 0.19, TotalStep 3404
Epoch 13: Loss 3.07, Reward 7.0, Avgloss 2.36, Avgreward 3.64, Epsilon 0.19, TotalStep 3755
Epoch 14: Loss 2.00, Reward 2.0, Avgloss 2.34, Avgreward 3.53, Epsilon 0.19, TotalStep 3979
Epoch 15: Loss 2.15, Reward 3.0, Avgloss 2.32, Avgreward 3.50, Epsilon 0.19, TotalStep 4249
Epoch 16: Loss 1.97, Reward 2.0, Avgloss 2.30, Avgreward 3.41, Epsilon 0.19, TotalStep 4468
Epoch 17: Loss 2.21, Reward 3.0, Avgloss 2.30, Avgreward 3.39, Epsilon 0.19, TotalStep 4721
Epoch 18: Loss 3.35, Reward 9.0, Avgloss 2.35, Avgreward 3.68, Epsilon 0.19, TotalStep 5117
Epoch 19: Loss 2.09, Reward 1.0, Avgloss 2.34, Avgreward 3.55, Epsilon 0.19, TotalStep 5349
Epoch 20: Loss 2.65, Reward 5.0, Avgloss 2.36, Avgreward 3.62, Epsilon 0.19, TotalStep 5650
