
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.82, Reward 8.0, Avgloss 2.82, Avgreward 8.00, Epsilon 0.37, TotalStep 282
Epoch 1: Loss 3.54, Reward 7.0, Avgloss 3.18, Avgreward 7.50, Epsilon 0.36, TotalStep 622
Epoch 2: Loss 5.45, Reward 14.0, Avgloss 3.94, Avgreward 9.67, Epsilon 0.36, TotalStep 1127
Epoch 3: Loss 2.42, Reward 3.0, Avgloss 3.56, Avgreward 8.00, Epsilon 0.36, TotalStep 1396
Epoch 4: Loss 2.71, Reward 6.0, Avgloss 3.39, Avgreward 7.60, Epsilon 0.36, TotalStep 1666
Epoch 5: Loss 2.88, Reward 5.0, Avgloss 3.30, Avgreward 7.17, Epsilon 0.36, TotalStep 1933
Epoch 6: Loss 2.24, Reward 2.0, Avgloss 3.15, Avgreward 6.43, Epsilon 0.36, TotalStep 2141
Epoch 7: Loss 2.76, Reward 2.0, Avgloss 3.10, Avgreward 5.88, Epsilon 0.35, TotalStep 2414
Epoch 8: Loss 3.19, Reward 6.0, Avgloss 3.11, Avgreward 5.89, Epsilon 0.35, TotalStep 2705
Epoch 9: Loss 2.30, Reward 6.0, Avgloss 3.03, Avgreward 5.90, Epsilon 0.35, TotalStep 2939
Epoch 10: Loss 1.95, Reward 2.0, Avgloss 2.93, Avgreward 5.55, Epsilon 0.35, TotalStep 3140
Epoch 11: Loss 1.88, Reward 4.0, Avgloss 2.85, Avgreward 5.42, Epsilon 0.35, TotalStep 3328
Epoch 12: Loss 2.72, Reward 2.0, Avgloss 2.84, Avgreward 5.15, Epsilon 0.35, TotalStep 3569
Epoch 13: Loss 3.25, Reward 8.0, Avgloss 2.87, Avgreward 5.36, Epsilon 0.35, TotalStep 3906
Epoch 14: Loss 2.50, Reward 7.0, Avgloss 2.84, Avgreward 5.47, Epsilon 0.35, TotalStep 4163
Epoch 15: Loss 3.15, Reward 4.0, Avgloss 2.86, Avgreward 5.38, Epsilon 0.35, TotalStep 4451
Epoch 16: Loss 2.00, Reward 6.0, Avgloss 2.81, Avgreward 5.41, Epsilon 0.34, TotalStep 4685
Epoch 17: Loss 3.99, Reward 9.0, Avgloss 2.88, Avgreward 5.61, Epsilon 0.34, TotalStep 5087
Epoch 18: Loss 2.20, Reward 2.0, Avgloss 2.84, Avgreward 5.42, Epsilon 0.34, TotalStep 5283
