
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.95, Reward 2.0, Avgloss 1.95, Avgreward 2.00, Epsilon 0.95, TotalStep 208
Epoch 1: Loss 1.85, Reward 3.0, Avgloss 1.90, Avgreward 2.50, Epsilon 0.95, TotalStep 398
Epoch 2: Loss 2.45, Reward 4.0, Avgloss 2.08, Avgreward 3.00, Epsilon 0.94, TotalStep 636
Epoch 3: Loss 2.36, Reward 3.0, Avgloss 2.15, Avgreward 3.00, Epsilon 0.94, TotalStep 847
Epoch 4: Loss 2.13, Reward 1.0, Avgloss 2.15, Avgreward 2.60, Epsilon 0.94, TotalStep 1042
Epoch 5: Loss 2.23, Reward 2.0, Avgloss 2.16, Avgreward 2.50, Epsilon 0.94, TotalStep 1261
Epoch 6: Loss 2.14, Reward 4.0, Avgloss 2.16, Avgreward 2.71, Epsilon 0.94, TotalStep 1485
Epoch 7: Loss 2.13, Reward 2.0, Avgloss 2.16, Avgreward 2.62, Epsilon 0.94, TotalStep 1693
Epoch 8: Loss 4.53, Reward 10.0, Avgloss 2.42, Avgreward 3.44, Epsilon 0.94, TotalStep 2158
Epoch 9: Loss 2.43, Reward 4.0, Avgloss 2.42, Avgreward 3.50, Epsilon 0.93, TotalStep 2393
Epoch 10: Loss 1.98, Reward 3.0, Avgloss 2.38, Avgreward 3.45, Epsilon 0.93, TotalStep 2595
Epoch 11: Loss 2.52, Reward 4.0, Avgloss 2.39, Avgreward 3.50, Epsilon 0.93, TotalStep 2830
Epoch 12: Loss 2.61, Reward 4.0, Avgloss 2.41, Avgreward 3.54, Epsilon 0.93, TotalStep 3104
Epoch 13: Loss 2.31, Reward 4.0, Avgloss 2.40, Avgreward 3.57, Epsilon 0.93, TotalStep 3322
Epoch 14: Loss 2.28, Reward 3.0, Avgloss 2.39, Avgreward 3.53, Epsilon 0.93, TotalStep 3547
Epoch 15: Loss 1.84, Reward 3.0, Avgloss 2.36, Avgreward 3.50, Epsilon 0.93, TotalStep 3753
Epoch 16: Loss 1.95, Reward 4.0, Avgloss 2.33, Avgreward 3.53, Epsilon 0.93, TotalStep 3960
Epoch 17: Loss 2.56, Reward 4.0, Avgloss 2.35, Avgreward 3.56, Epsilon 0.92, TotalStep 4198
Epoch 18: Loss 2.34, Reward 2.0, Avgloss 2.35, Avgreward 3.47, Epsilon 0.92, TotalStep 4399
