
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.56, Reward 2.0, Avgloss 1.56, Avgreward 2.00, Epsilon 0.30, TotalStep 195
Epoch 1: Loss 1.92, Reward 2.0, Avgloss 1.74, Avgreward 2.00, Epsilon 0.30, TotalStep 401
Epoch 2: Loss 3.19, Reward 3.0, Avgloss 2.22, Avgreward 2.33, Epsilon 0.30, TotalStep 762
Epoch 3: Loss 1.88, Reward 1.0, Avgloss 2.14, Avgreward 2.00, Epsilon 0.30, TotalStep 961
Epoch 4: Loss 3.42, Reward 5.0, Avgloss 2.39, Avgreward 2.60, Epsilon 0.29, TotalStep 1283
Epoch 5: Loss 3.47, Reward 5.0, Avgloss 2.57, Avgreward 3.00, Epsilon 0.29, TotalStep 1681
Epoch 6: Loss 2.44, Reward 2.0, Avgloss 2.56, Avgreward 2.86, Epsilon 0.29, TotalStep 1950
Epoch 7: Loss 2.73, Reward 5.0, Avgloss 2.58, Avgreward 3.12, Epsilon 0.29, TotalStep 2285
Epoch 8: Loss 2.78, Reward 5.0, Avgloss 2.60, Avgreward 3.33, Epsilon 0.29, TotalStep 2587
Epoch 9: Loss 1.99, Reward 2.0, Avgloss 2.54, Avgreward 3.20, Epsilon 0.29, TotalStep 2809
Epoch 10: Loss 1.75, Reward 1.0, Avgloss 2.47, Avgreward 3.00, Epsilon 0.29, TotalStep 3033
Epoch 11: Loss 3.32, Reward 7.0, Avgloss 2.54, Avgreward 3.33, Epsilon 0.28, TotalStep 3408
Epoch 12: Loss 3.19, Reward 6.0, Avgloss 2.59, Avgreward 3.54, Epsilon 0.28, TotalStep 3795
Epoch 13: Loss 4.36, Reward 5.0, Avgloss 2.72, Avgreward 3.64, Epsilon 0.28, TotalStep 4303
Epoch 14: Loss 1.60, Reward 1.0, Avgloss 2.64, Avgreward 3.47, Epsilon 0.28, TotalStep 4501
Epoch 15: Loss 4.00, Reward 6.0, Avgloss 2.73, Avgreward 3.62, Epsilon 0.28, TotalStep 4919
Epoch 16: Loss 3.37, Reward 5.0, Avgloss 2.76, Avgreward 3.71, Epsilon 0.28, TotalStep 5343
Epoch 17: Loss 3.42, Reward 5.0, Avgloss 2.80, Avgreward 3.78, Epsilon 0.27, TotalStep 5721
Epoch 18: Loss 4.13, Reward 6.0, Avgloss 2.87, Avgreward 3.89, Epsilon 0.27, TotalStep 6224
Epoch 19: Loss 4.90, Reward 9.0, Avgloss 2.97, Avgreward 4.15, Epsilon 0.27, TotalStep 6757
